measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,1,Male,22,All ages,444,Lip and oral cavity cancer,1,Number,1981,52812.06780642919,57840.71737957105,48470.81511610907
1,Deaths,1,Global,2,Female,22,All ages,444,Lip and oral cavity cancer,1,Number,1981,24078.194981772696,26381.558803187392,22090.823317375147
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,1981,76890.26278820176,82141.25868216739,72080.43846080556
1,Deaths,1,Global,1,Male,22,All ages,447,Nasopharynx cancer,1,Number,1981,34712.275710813585,40422.491638641724,29164.039362217645
1,Deaths,1,Global,2,Female,22,All ages,447,Nasopharynx cancer,1,Number,1981,18975.68956513869,22894.022142782895,15306.88685146995
1,Deaths,1,Global,3,Both,22,All ages,447,Nasopharynx cancer,1,Number,1981,53687.96527595231,59940.99573140293,46722.822698408105
1,Deaths,1,Global,1,Male,22,All ages,450,Other pharynx cancer,1,Number,1981,27118.251400810765,30861.015843406447,24413.95219889532
1,Deaths,1,Global,2,Female,22,All ages,450,Other pharynx cancer,1,Number,1981,6870.527162084361,8265.286624564436,5705.095006348356
1,Deaths,1,Global,3,Both,22,All ages,450,Other pharynx cancer,1,Number,1981,33988.77856289509,37824.82163482917,30938.86247057147
1,Deaths,1,Global,1,Male,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1981,28374.334329027814,32777.75857519343,23398.48441773582
1,Deaths,1,Global,2,Female,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1981,52066.23110198362,59924.68423674143,45845.59344641972
1,Deaths,1,Global,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1981,80440.56543101146,89399.49223083943,71481.78651622213
1,Deaths,1,Global,1,Male,22,All ages,456,Pancreatic cancer,1,Number,1981,87897.63158950805,96372.9152057604,81646.92295487811
1,Deaths,1,Global,2,Female,22,All ages,456,Pancreatic cancer,1,Number,1981,79004.20682353523,86488.99253431891,73171.27494619339
1,Deaths,1,Global,3,Both,22,All ages,456,Pancreatic cancer,1,Number,1981,166901.83841304347,180740.42851766618,156710.4861382831
